Unnamed: 0,PolicyNo_Flag,Year,postalCode,builtYear,nrOfFloors,Construction_Material_C,Item_Type_C,FloorsType_C,Location,Region,Region_code,distr,distr_code,floodvulnerability,windvulnerability,TExposure,postcode_area,postcode_perimeter,postcode_coast_flg,postcode_coast_len,postcode_alt_mean,postcode_slo_mean,postcode_slp_mean,postcode_rgh_mean,postcode_cor_111,postcode_cor_112,postcode_cor_121,postcode_cor_122,postcode_cor_123,postcode_cor_124,postcode_cor_131,postcode_cor_132,postcode_cor_133,postcode_cor_141,postcode_cor_142,postcode_cor_211,postcode_cor_212,postcode_cor_213,postcode_cor_221,postcode_cor_222,postcode_cor_223,postcode_cor_231,postcode_cor_241,postcode_cor_242,postcode_cor_243,postcode_cor_244,postcode_cor_311,postcode_cor_312,postcode_cor_313,postcode_cor_321,postcode_cor_322,postcode_cor_323,postcode_cor_324,postcode_cor_331,postcode_cor_332,postcode_cor_333,postcode_cor_334,postcode_cor_411,postcode_cor_412,postcode_cor_421,postcode_cor_422,postcode_cor_511,postcode_cor_512,postcode_cor_521,postcode_cor_522,postcode_cor_523,SubItemType_C,TCapital_Insurred,TPremiums,TIncurred,Avg_Cost,ClaimNb_Flood,ClaimNb_Other,ClaimNb_Storm,TClaimsNo
23859,261514P,2022,12137,1986,3,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,4,2,0.849315068,2104178,6636,0,0,125.288,3.787,6.622,36.365,1639596,0,837,0,0,0,0,0,0,0,390262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,120000,14.95,0,0,0,0,0,0
77924,31847P,2020,17563,1980,4,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.005479452,1520787,6678,0,0,30.5,1.078,1.883,10.026,1520787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,58694.06,33.83,0,0,0,0,0,0
80393,40073P,2017,17673,1975,0,C1,C3,C1,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.002739726,805072,3623,0,0,22.238,1.338,2.335,12.429,805072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,81000,24.07,0,0,0,0,0,0
140644,62266P,2017,54629,1970,0,C1,C1,C2,Other,City of Thessaloniki,3,Central Macedonia,7,5,2,0.465753425,519868,3824,0,0,17.375,1.549,2.704,15,409408,0,0,110449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,128000,39.64,0,0,0,0,0,0
1499,13426P,2015,10443,1979,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,1.005479452,1173602,5840,0,0,55.655,0.884,1.544,7.517,500198,0,546297,127107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,56000,16.64,0,0,0,0,0,0
77370,163816P,2018,17563,1970,0,C1,C3,C1,Athens,Cities of Athens and Pireaus,9,Attica,3,5,2,0.21369863,1520787,6678,0,0,30.5,1.078,1.883,10.026,1520787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,54600,12.28,0,0,0,0,0,0
163327,153297P,2020,64008,2009,0,C1,C1,C1,Other,Macedonia and island of Thasos (excl.Thessaloniki),2,East Macedonia and Thrace,8,3,2,1.005479452,335556767,96435,1,25712,343.768,8.204,14.714,79.234,0,8364878,0,4031321,0,0,634262,0,0,0,0,15546588,12469090,0,3713895,43005,28312437,1680249,0,49518349,34281695,0,55083180,694531,0,7332734,0,47220479,12822404,0,0,11757366,0,315544,0,3858,0,840322,0,0,0,40890578,C1C2,112000,34.78,0,0,0,0,0,0
176701,238582P,2021,74055,2008,1,C1,C1,C1,Other,Crete ( excl. Eraklion),14,Crete,4,2,2,0.753424658,56575190,47246,1,3714,476.92,10.563,19.037,98.597,0,977589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18009536,0,0,4645764,5997460,0,1976179,0,0,15794987,0,8238716,587867,343859,0,0,0,0,0,0,0,0,0,0,0,3233,C1C2,98400,20.28,0,0,0,0,0,0
113498,233702P,2021,26224,1976,0,C1,C3,C1,Other,City of Patras,12,West Greece,11,5,2,0.97260274,566390,3156,0,0,22.357,1.223,2.135,11.857,562872,3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1C2,45000,9.72,0,0,0,0,0,1
115945,45758P,2020,30017,1950,1,C2,C1,C1,Other,Sterea Hellas (excl. Athens and Pireaus),7,West Greece,11,2,1,1.005479452,368990172,122515,0,0,743.69,13.098,23.848,125.459,0,1777009,0,410863,0,0,0,0,0,0,0,13209980,0,0,0,0,0,2243113,0,3134726,23956755,0,45430743,57345833,64550097,41205427,0,79513254,14045368,0,1057551,8289165,0,0,0,0,0,1354782,11465487,0,0,0,C1C2,50000,26.13,292.01,292.01,0,0,1,1
122800,5365P,2013,35300,1993,0,C1,C1,C1,Other,Sterea Hellas (excl. Athens and Pireaus),7,Central Greece,12,2,1,1.002739726,236155740,87465,1,29605,594.985,9.022,16.09,85.441,0,4519732,254100,2455934,0,0,0,0,0,0,0,1323878,0,0,0,0,52934407,372025,0,12685878,10923345,0,11278964,1901184,9782475,14029671,0,93980167,19661601,0,0,0,0,0,0,0,0,0,0,0,0,52386,C1C2,160000,47.4,0,0,0,0,0,0
63896,42945P,2013,16673,2007,0,C1,C1,C2,Athens,Cities of Athens and Pireaus,9,Attica,3,3,2,0.638356164,9190522,18773,1,5979,94.229,3.89,6.817,36.753,0,6758478,0,0,0,0,0,0,0,0,405026,0,0,0,0,0,0,147534,0,0,0,0,0,0,0,0,0,0,1846599,0,0,0,0,0,0,0,0,0,0,0,0,32886,C1C2,160000,31.61,0,0,0,0,0,0
152969,301533P,2013,59033,1972,0,C1,C1,C1,Other,Macedonia and island of Thasos (excl.Thessaloniki),2,Central Macedonia,7,3,2,0.263013699,25671897,33321,0,0,22.986,0.399,0.697,3.587,0,2294966,269841,0,0,0,0,0,0,0,0,145770,4706949,0,0,16942781,0,860024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451591,0,0,0,0,C1C2,192000,54.04,0,0,0,0,0,0
100881,24346P,2014,19200,1980,1,C1,C3,C1,Other,Sterea Hellas (excl. Athens and Pireaus),7,Attica,3,4,2,1.002739726,19178400,40746,1,19231,26.202,1.362,2.385,12.15,0,4179949,4870141,331509,0,5316010,0,0,0,0,0,0,0,0,0,0,1683219,747141,0,1525070,0,0,0,2740,0,0,0,430586,0,0,0,0,0,0,0,0,0,0,0,0,0,92065,C1C2,130000,104.84,0,0,0,0,0,0
